notebook,notebook_sri_score,int_op,int_op_reproduced,int_op_sri,float_op,float_op_reproduced,float_op_sri,list_op,list_op_reproduced,list_op_sri,tuple_op,tuple_op_reproduced,tuple_op_sri,set_op,set_op_reproduced,set_op_sri,str_op,str_op_reproduced,str_op_sri,dict_op,dict_op_reproduced,dict_op_sri,array_op,array_op_reproduced,array_op_sri,dataframe_op,dataframe_op_reproduced,dataframe_op_sri,other_op,other_op_reproduced,other_op_sri,image_op,image_op_reproduced,stream_op,stream_op_reproduced
f40b1012ac53f001adc118bbf9dd4d656c9a5d83.ipynb,0.99968704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27
bd2e5bfd512e757eeb8c3ad0f375d2949efef8e5.ipynb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
fcce93e9e3c37043188e02cbb01d26c28a76206f.ipynb,0.889532434,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,33,28,0,0,0,0,0,0,0,0,0,11,11
e90e4de2a9244a26e96cdbb1163950a90d2a5827.ipynb,0.708271605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01b90cdc06c9c946a090bdc853ca0d1696c9f343.ipynb,0.92522025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,3,0,12,6
92904b20b2cdb3d32c425f061cfbd20b4a1a1b7a.ipynb,0.868723258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,0,0,0
01e204add040dce6cb379b369e5e59ec6c70d16d.ipynb,0.666650176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0712c181b450f0d644d14b4b03af1bc44918baf9.ipynb,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
d0d4fdbe0068dd440f6a8fa42fe91529155e8114.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
aa3b1284d2b233b4e5114f327a2cae7a92866c89.ipynb,0.887668821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4de65f44bbb302fcb71371021aa2761a744e86d2.ipynb,0.974088809,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,6,0,3,3,0,10,0,1,1
db0b3c99febe9da4345edd5461e2272cb48f348c.ipynb,0.732828785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,8
f9a8cb45764228468ea192e6c284e00d641ca235.ipynb,0.654602884,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,0,1,5,2,0,5,1,4,2,1,1,2,0,5,3
e75628da27560009fd5b61d73071f962f1061f21.ipynb,0.69366191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
74e4877d0667ef7c64404194f4b145a79b451f52.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
695d6aa09da3de6258ba83cc020d3cf38b018fd3.ipynb,0.824832866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0a2a14d5713813d5e27d16c7c5048f7062c5c4a4.ipynb,1,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1715382ad7ca5ef4e594140dd801352b2ed1a99f.ipynb,0.788578632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
